"","quantity","education","cohort","age","income"
"365","90th percentile","College Degree",1970,36,162601.337908794
"366","90th percentile","Less than College",1970,36,90706.8659928887
"367","90th percentile","College Degree",1970,37,200402.609992243
"368","90th percentile","Less than College",1970,37,91733.5890809564
"369","90th percentile","College Degree",1970,38,179444.043497399
"370","90th percentile","Less than College",1970,38,95159.7200364995
"371","90th percentile","College Degree",1970,39,197750.070297377
"372","90th percentile","Less than College",1970,39,92737.9640015287
"373","90th percentile","College Degree",1970,40,187856.696857444
"374","90th percentile","Less than College",1970,40,93928.3484287218
"375","90th percentile","College Degree",1970,41,182138.190995733
"376","90th percentile","Less than College",1970,41,91069.0954978667
"377","90th percentile","College Degree",1970,42,191184.44316275
"378","90th percentile","Less than College",1970,42,91768.5327181199
"379","90th percentile","College Degree",1970,43,194702.967817728
"380","90th percentile","Less than College",1970,43,97979.5579985984
"381","90th percentile","College Degree",1970,44,222512.07147836
"382","90th percentile","Less than College",1970,44,93207.8343859353
"383","90th percentile","College Degree",1970,45,197549.202344146
"384","90th percentile","Less than College",1970,45,98774.6011720729
